backers_count,blurb,country,country_displayable_name,created_at,currency,currency_symbol,currency_trailing_code,current_currency,deadline,disable_communication,friends,fx_rate,goal,id,is_backing,is_starrable,is_starred,launched_at,name,pledged,slug,spotlight,staff_pick,state,state_changed_at,static_usd_rate,usd_pledged,usd_type,blurb_len,is_successful,is_failed,is_live,create_year,create_month,create_day,launch_year,launch_month,launch_day,deadline_year,deadline_month,deadline_day,state_change_year,state_change_month,state_change_day,backing_days,is_spotlight,is_staff_pick
25,After a unsuccessful recovery last time we are trying again to successfully launch and recover a weather balloon from space.,US,the United States,2016-08-11 19:43:11,USD,$,True,USD,2016-09-29 15:45:21,False,,1.0,930.0,1664388860,,False,,2016-08-30 15:45:21,space exploration,986.0,technology,True,False,successful,2016-09-29 15:45:21,1.0,986.0,domestic,20,1,0,0,2016,8,11,2016,8,30,2016,9,29,2016,9,29,30,1,0
0,Hilarious,US,the United States,2015-12-02 08:08:51,USD,$,True,USD,2016-01-01 09:33:23,False,,1.0,15000.0,1121807044,,False,,2015-12-02 09:33:23,comedy,0.0,film & video,False,False,failed,2016-01-01 09:33:23,1.0,0.0,domestic,1,0,1,0,2015,12,2,2015,12,2,2016,1,1,2016,1,1,30,0,0
2,Evan is 12 yrs old and loves to make stop motions and build LEGOs.  Help him continue his animation journey by funding his LEGO city.,US,the United States,2019-08-08 20:23:53,USD,$,True,USD,2019-10-17 18:18:25,False,,1.0,1900.0,480422910,,False,,2019-08-28 18:18:25,film & video,51.0,film & video,False,False,live,2019-08-28 18:18:25,1.0,51.0,domestic,26,0,0,1,2019,8,8,2019,8,28,2019,10,17,2019,8,28,50,0,0
0,A portfolio collage of beautiful pictures of authentic Pittsburgh locations and scenery.,US,the United States,2015-02-11 01:17:12,USD,$,True,USD,2015-03-28 00:44:45,False,,1.0,25.0,498606504,,False,,2015-02-11 01:44:45,places,0.0,photography,False,False,failed,2015-03-28 00:45:13,1.0,0.0,domestic,12,0,1,0,2015,2,11,2015,2,11,2015,3,28,2015,3,28,44,0,0
48,A short film that personifies the life of an artist in the daily struggle to survive while staying true to oneself.,US,the United States,2019-07-28 03:53:58,USD,$,True,USD,2019-09-14 17:08:57,False,,1.0,3820.0,587810835,,False,,2019-08-15 17:08:57,shorts,3842.0,film & video,True,False,successful,2019-09-14 17:08:58,1.0,3842.0,domestic,21,1,0,0,2019,7,28,2019,8,15,2019,9,14,2019,9,14,30,1,0
82,Support The Musical Legacy of PFA in a Live Recording Featuring A Full Orchestra!,US,the United States,2019-01-24 22:45:21,USD,$,True,USD,2019-05-07 03:59:00,False,,1.0,6000.0,1844438359,,False,,2019-04-23 14:34:46,classical music,9121.0,music,True,True,successful,2019-05-07 03:59:00,1.0,9121.0,international,14,1,0,0,2019,1,24,2019,4,23,2019,5,7,2019,5,7,13,1,1
68,"We want to produce and design high-quality, German-made watches which are affordable to all.",DE,Germany,2018-08-01 14:17:24,EUR,€,False,USD,2018-09-08 20:20:28,False,,1.10775339,10000.0,223680038,,False,,2018-08-09 20:20:28,accessories,17341.0,fashion,True,False,successful,2018-09-08 20:20:29,1.16187471,20148.06935,domestic,14,1,0,0,2018,8,1,2018,8,9,2018,9,8,2018,9,8,30,1,0
234,A short-form tabletop RPG for two players. Collaborate as hunter and prey to tell a thrilling story together.,CA,Canada,2018-11-13 14:10:46,CAD,$,True,USD,2019-04-06 03:59:00,False,,0.75734913,1500.0,1736898727,,False,,2019-03-12 12:55:51,tabletop games,2819.29,games,True,False,successful,2019-04-06 03:59:00,0.7447497,2099.665382,international,18,1,0,0,2018,11,13,2019,3,12,2019,4,6,2019,4,6,24,1,0
26828,"Proudly designed in Switzerland, the perfect always-on smartwatch blending classic design and smart features at an affordable price",US,the United States,2017-03-06 10:25:38,USD,$,True,USD,2017-04-27 14:46:47,False,,1.0,50000.0,1729796642,,False,,2017-03-23 14:46:47,wearables,5333792.84,technology,True,False,successful,2017-04-27 14:46:48,1.0,5333792.84,domestic,18,1,0,0,2017,3,6,2017,3,23,2017,4,27,2017,4,27,35,1,0
3,Producing a slate of grindhouse films.,US,the United States,2018-08-12 19:15:25,USD,$,True,USD,2018-09-01 21:45:03,False,,1.0,100.0,1200018307,,False,,2018-08-12 21:45:03,narrative film,116.0,film & video,True,False,successful,2018-09-01 21:45:03,1.0,116.0,domestic,6,1,0,0,2018,8,12,2018,8,12,2018,9,1,2018,9,1,20,1,0
